name,cdsCode
Mountain Empire High,37682133734878
San Diego SCPA,37683383730371
Palmer Way,37682216038814
Central Elementary,37682216038731
Penn Elementary,37683386077317
Sunnyside Elementary,37680236038012
Granger Junior High,37684116059778
Magnolia Elementary,37679916037709
Holmes Elementary,37683386039747
Flying Hills School of Arts,37679916037634
Gage Elementary,37683386039648
Angier Elementary,37683386039135
Naranca Elementary,37679916037725
Montgomery Senior High,37684113738234
Sunnyslope Elementary,37683956040539
Juarez-Lincoln Elementary,37680236069090
Mar Vista Senior High,37684113733953
Silver Wing Elementary,37680236038004
Central Elementary,37683956040471
Howard Pence Elementary,37683956094973
San Ysidro Middle,37683796098453
Sunset Elementary,37683796093264
Rolando Park Elementary,37683386040091
Vista La Mesa Academy,37682056038673
Cubberley Elementary,37683386039432
Johnson Elementary,37679916037675
Madison Avenue Elementary,37679916037691
Teofilo Mendoza,37683956116008
Imperial Beach Charter,37683956040505
Emory Elementary,37683956040489
Oneonta Elementary,37683956040521
Los Altos Elementary,37680236070825
Nestor Language Academy Charter,37683956040513
Southwest Middle,37684116062012
Godfrey G. Berry Elementary,37683956067029
Southwest Senior High,37684113730124
George Nicoloff Elementary,37683956098487
La Mirada Elementary,37683796089007
Smythe Elementary,37683796085146
Farr Avenue Elementary,37680980102608
Reidy Creek Elementary,37680980107862
Bernardo Elementary,37680980107870
Stone Ranch Elementary,37682960102822
Oak Valley Middle,37682960108332
High Tech High International,37683380106732
Canyon Crest Academy,37683460106328
Solana Pacific Elementary,37683870105825
Cajon Valley Middle,37679916037584
Montgomery Middle,37679916093207
Marvin Elementary,37683386039960
Jones Elementary,37683386039796
Crown Point Elementary,37683386039424
Chesterton Elementary,37683386039374
Linda Vista Elementary,37683386039879
Foster Elementary,37683386039598
Bay Park Elementary,37683386039200
Meridian Elementary,37679916037717
Point Loma High,37683383735750
Carver Elementary,37683386039358
Jamacha Elementary,37679916110787
Hamilton Elementary,37683386039705
Cabrillo Elementary,37683386039291
Johnson Elementary,37683386039788
Garfield High,37683383737962
Encanto Elementary,37683386039515
Keiller Leadership Academy,37683386039812
Horton Elementary,37683386039754
Audubon K-8,37683386039143
Freese Elementary,37683386039614
Fulton K-8,37683386039630
Burbank Elementary,37683386039283
Baker Elementary,37683386039150
Boone Elementary,37683386039267
Knox Middle,37683380124115
Pacific View Leadership Elementary,37683386039861
Allen (Ella B.) Elementary,37680236037832
Halecrest Elementary,37680236037865
Hilltop Drive Elementary,37680236037899
Hilltop Middle,37684116062004
Cook (Hazel Goes) Elementary,37680236037881
Harborside Elementary,37680236037873
MAAC Community Charter,37684113731304
Rohr (Fred H.) Elementary,37680236037840
Montgomery Middle,37684116070890
San Ysidro High,37684113731502
Greenfield Middle,37679916037659
Clay Elementary,37683386039390
EJE Elementary Academy Charter,37679910108563
Borrego Springs Middle,37679836115315
Del Rio Elementary,37735696088991
Reynolds Elementary,37735696106546
Lilac,37756140100511
Stuart Mesa Elementary,37735696115299
Libby Elementary,37735696038855
Borrego Springs Elementary,37679836037550
Mission Meadows Elementary,37684526110407
Alamosa Park Elementary,37684526107031
Valley Center Primary,37756146106124
Roosevelt Middle,37684526107577
Valley Center Elementary,37756146112494
Santa Margarita Elementary,37735696038913
Guajome Park Academy Charter,37684523730942
Empresa Elementary,37684526108708
T.H.E Leadership Academy,37684520100925
Valley Center Middle,37756146093272
Pacific View Charter,37735693731221
Pablo Tac School of the Arts,37735696038905
Vista High,37684523738705
Bobier Elementary,37684526040596
El Camino High,37735693739018
Ivey Ranch Elementary,37735696109995
North Terrace Elementary,37735696038889
Martin Luther King Jr. Middle,37735696111777
Jefferson Middle,37735696038830
Laurel Elementary,37735696038848
Vista Academy of Visual and Performing Arts,37684526040653
