,district,socType,name,minGrade,cv_dist,cv_miles
184,San Diego Unified,Intermediate/Middle Schools (Public),Clark Middle,6.0,26488.799939289074,16.55549996205567
896,Vista Unified,Adult Education Centers,Vista Adult,16.0,26494.714128336822,16.559196330210515
645,San Diego Unified,High Schools (Public),San Diego Business/Leadership,9.0,26550.607448574236,16.5941296553589
643,San Diego Unified,High Schools (Public),San Diego Science and Technology,9.0,26550.607448574236,16.5941296553589
644,San Diego Unified,High Schools (Public),San Diego International Studies,9.0,26550.607448574236,16.5941296553589
601,San Diego Unified,Alternative Schools of Choice,East Village Middle College High,9.0,26555.907877594673,16.59744242349667
600,San Diego Unified,High Schools (Public),Crawford High,9.0,26646.245231946417,16.65390326996651
967,Oceanside Unified,Private,California Accelerated Learning Institute,8.0,26807.08870576282,16.754430441101764
263,San Diego Unified,Continuation High Schools,Garfield High,9.0,26836.90473686979,16.77306546054362
901,San Marcos Unified,Adult Education Centers,San Marcos Adult,16.0,26858.786232713606,16.786741395446004
328,San Marcos Unified,Alternative Schools of Choice,Foothills High,9.0,26858.786232713606,16.786741395446004
327,San Marcos Unified,Continuation High Schools,Twin Oaks High,9.0,26858.786232713606,16.786741395446004
362,Escondido Union High,High Schools (Public),Escondido Charter High,9.0,27121.25522121118,16.950784513256988
30,Grossmont Union High,High Schools (Public),Santana High,9.0,27239.370980442753,17.02460686277672
372,Escondido Union High,High Schools (Public),Orange Glen High,9.0,27521.57799888441,17.20098624930276
344,Escondido Union,Intermediate/Middle Schools (Public),Rincon Middle,6.0,27560.408997124705,17.22525562320294
659,San Diego Unified,High Schools (Public),e3 Civic High,9.0,27746.17455059881,17.341359094124257
585,Vista Unified,Continuation High Schools,Major General Raymond Murray High,10.0,27841.212185066703,17.400757615666688
651,San Diego Unified,Intermediate/Middle Schools (Public),Albert Einstein Academy Charter Middle,6.0,28053.50898158344,17.53344311348965
368,Escondido Union,Intermediate/Middle Schools (Public),Hidden Valley Middle,6.0,28165.64451505939,17.60352782191212
107,La Mesa-Spring Valley,Intermediate/Middle Schools (Public),Parkway Sports and Health Science Academy,7.0,28186.139236377712,17.61633702273607
602,San Diego Unified,Intermediate/Middle Schools (Public),King-Chavez Preparatory Academy,6.0,28241.212354000778,17.650757721250486
695,Grossmont Union High,Special Education Schools (Public),MERIT Academy,9.0,28269.671998871978,17.668544999294987
702,Grossmont Union High,Continuation High Schools,Chaparral High,9.0,28269.671998871978,17.668544999294987
637,Grossmont Union High,Alternative Schools of Choice,IDEA Center,9.0,28269.671998871978,17.668544999294987
751,San Diego Unified,Private,Nativity Prep Academy,6.0,28285.428931973023,17.67839308248314
785,Grossmont Union High,Private,Foothills Christian High School,9.0,28335.590985496827,17.709744365935517
596,Vista Unified,Intermediate/Middle Schools (Public),"Vista Magnet Middle School of Technology, Science, and Math",6.0,28374.090520258625,17.73380657516164
672,Vista Unified,Intermediate/Middle Schools (Public),Vista Innovation and Design Academy,6.0,28424.108827581458,17.765068017238413
318,Vista Unified,Intermediate/Middle Schools (Public),Rancho Minerva Middle,6.0,28503.693412485005,17.81480838280313
479,Grossmont Union High,High Schools (Public),Helix High,9.0,28588.30984524417,17.867693653277605
323,Oceanside Unified,Intermediate/Middle Schools (Public),Lincoln Middle,6.0,28653.43953723633,17.908399710772706
166,Coronado Unified,Intermediate/Middle Schools (Public),Coronado Middle,6.0,28728.187602427726,17.95511725151733
319,Oceanside Unified,Continuation High Schools,Surfside High (Continuation),9.0,28867.024607773637,18.041890379858522
