,district,socType,name,minGrade,cv_dist,cv_miles
121,Grossmont Union High,High Schools (Public),Valhalla High,9.0,36401.98051819741,22.75123782387338
889,Ramona City Unified,Adult Education Centers,Ramona Adult,16.0,36642.46464847141,22.901540405294632
414,Ramona City Unified,Alternative Schools of Choice,Future Bound Independent Study Secondary,7.0,36642.46464847141,22.901540405294632
415,Ramona City Unified,Continuation High Schools,Montecito High (Continuation),9.0,36688.759479783046,22.930474674864403
904,SBE - Sweetwater Secondary,High Schools In 1 School Dist. (Public),Sweetwater Secondary,7.0,37526.616155449825,23.45413509715614
16,Sweetwater Union High,Intermediate/Middle Schools (Public),Chula Vista Middle,7.0,37718.90130048386,23.574313312802413
389,Grossmont Union High,High Schools (Public),Steele Canyon High,9.0,38155.90172313164,23.847438576957273
884,Grossmont Union High,Adult Education Centers,Steele Canyon Adult Center,16.0,38155.90172313164,23.847438576957273
12,Sweetwater Union High,High Schools (Public),Hilltop Senior High,9.0,38414.79281968802,24.00924551230501
278,Sweetwater Union High,Intermediate/Middle Schools (Public),Hilltop Middle,7.0,38992.66117476123,24.370413234225772
679,Bonsall Unified,Intermediate/Middle Schools (Public),Norman L. Sullivan Middle,6.0,39199.34358022604,24.499589737641276
678,Bonsall Unified,High Schools (Public),Bonsall High,9.0,39199.34358022604,24.499589737641276
519,Sweetwater Union High,High Schools (Public),Chula Vista Senior High,9.0,39259.14402279682,24.53696501424801
304,Valley Center-Pauma Unified,Intermediate/Middle Schools (Public),Valley Center Middle,6.0,39355.341898235834,24.597088686397395
0,Sweetwater Union High,Intermediate/Middle Schools (Public),Bonita Vista Middle,7.0,39808.96397303386,24.880602483146163
523,Sweetwater Union High,Alternative Schools of Choice,Options Secondary,7.0,39976.91161296149,24.985569758100933
894,Sweetwater Union High,Adult Education Centers,Chula Vista Adult,16.0,40103.245288436505,25.064528305272816
817,Sweetwater Union High,Private,Victory Christian Academy,9.0,40426.545318357494,25.266590823973434
1,Sweetwater Union High,High Schools (Public),Bonita Vista Senior High,9.0,40461.96882029215,25.288730512682594
567,Cajon Valley Union,Intermediate/Middle Schools (Public),Los Coches Creek Middle,6.0,40690.73399391052,25.431708746194076
533,Sweetwater Union High,Continuation High Schools,Palomar High,7.0,41118.160859116004,25.698850536947504
18,Sweetwater Union High,Intermediate/Middle Schools (Public),Rancho del Rey Middle,7.0,41426.678993414724,25.891674370884203
532,Sweetwater Union High,District Community Day Schools,Sweetwater Community Day,7.0,41494.38544881904,25.9339909055119
281,Sweetwater Union High,K-12 Schools (Public),MAAC Community Charter,9.0,41506.07684662846,25.941298029142786
531,Sweetwater Union High,Intermediate/Middle Schools (Public),Castle Park Middle,7.0,41626.57362055475,26.01660851284672
529,Sweetwater Union High,High Schools (Public),Castle Park Senior High,9.0,41720.874035925626,26.075546272453515
525,Sweetwater Union High,District Community Day Schools,Alta Vista Academy,7.0,41760.58521160344,26.10036575725215
926,Valley Center-Pauma Unified,Adult Education Centers,Valley Center-Pauma Adult,9.0,41966.13202921144,26.22883251825715
139,Valley Center-Pauma Unified,Continuation High Schools,Oak Glen High,9.0,41980.022382378076,26.237513988986297
137,Valley Center-Pauma Unified,High Schools (Public),Valley Center High,9.0,41984.21418439379,26.240133865246122
216,Sweetwater Union High,High Schools (Public),Mar Vista Senior High,9.0,42311.38219677601,26.444613872985006
10,Sweetwater Union High,Intermediate/Middle Schools (Public),Eastlake Middle,7.0,42560.43249886572,26.600270311791075
11,Sweetwater Union High,High Schools (Public),Eastlake High,9.0,42615.3337313194,26.634583582074626
19,Sweetwater Union High,High Schools (Public),Otay Ranch Senior High,9.0,43183.28817572719,26.989555109829492
148,Jamul-Dulzura Union Elementary,Intermediate/Middle Schools (Public),Oak Grove Middle,6.0,43271.28728100539,27.04455455062837
892,Sweetwater Union High,Adult Education Centers,Montgomery Adult,16.0,43548.20445212555,27.21762778257847
666,Sweetwater Union High,Intermediate/Middle Schools (Public),Mar Vista Academy,7.0,43595.774558945035,27.247359099340645
213,Sweetwater Union High,High Schools (Public),Montgomery Senior High,9.0,43601.852101703895,27.251157563564934
773,Sweetwater Union High,Private,Mater Dei Catholic High School,9.0,43950.330514806265,27.468956571753914
133,Fallbrook Union High,Continuation High Schools,Ivy High (Continuation),9.0,44301.06855581771,27.688167847386065
134,Fallbrook Union High,High Schools (Public),Fallbrook High,9.0,44421.832373606914,27.76364523350432
283,Sweetwater Union High,Intermediate/Middle Schools (Public),Montgomery Middle,7.0,44685.441131798696,27.928400707374184
973,Sweetwater Union High,Alternative Schools of Choice,Launch Virtual Academy,7.0,44711.35563205814,27.94459727003634
235,Sweetwater Union High,High Schools (Public),Southwest Senior High,9.0,44726.97153751978,27.954357210949862
132,Fallbrook Union High,Alternative Schools of Choice,Oasis High (Alternative),9.0,44727.179507571185,27.95448719223199
233,Sweetwater Union High,Intermediate/Middle Schools (Public),Southwest Middle,7.0,44793.06545784942,27.99566591115589
575,Sweetwater Union High,High Schools (Public),Olympian High,9.0,45237.816141871306,28.273635088669565
594,Sweetwater Union High,Special Education Schools (Public),East Hills Academy,7.0,45362.1540169161,28.351346260572562
597,Warner Unified,K-12 Schools (Public),All Tribes Charter,6.0,45365.38308240201,28.35336442650126
613,SBC - High Tech High,Intermediate/Middle Schools (Public),High Tech Middle Chula Vista,6.0,45544.13841772215,28.465086511076343
593,SBC - High Tech High,High Schools (Public),High Tech High Chula Vista,9.0,45546.20537326913,28.466378358293206
544,Alpine Union Elementary,Intermediate/Middle Schools (Public),Joan MacQueen Middle,6.0,45723.96294195924,28.577476838724525
924,San Ysidro Elementary,Intermediate/Middle Schools (Public),Vista Del Mar,7.0,46379.880815696,28.98742550981
